post_text;date;hash;reposts_count;likes_count;id
"Первая встреча стартап-лаборатории 1Т — в эту субботу! 
 
🚀 Первая встреча СтартЛаба — уже на этой неделе, 22 июля, в Санкт-Петербурге. Это первая часть предакселерационной программы стартапов — от идеи и MVP до презентации инвесторам и грантов лучшим IT-проектам. 
 
🧑‍💻 Приглашаем всех, кто интересуется IT или думал о своем стартапе — приходите и подключайтесь онлайн. 
 
Тема первой встречи — Идея стартапа: 
 
🔹 Где найти источники идей? 
🔹 Как можно модифицировать уже существующий продукт? 
🔹 Как убедиться, что идея может стать основой будущего бизнеса? 
 
🧙‍♂ Ведущий спикер — академический директор 1Т Иван Тугой, дипломированный менеджер проектов, руководитель проекта CRM-системы «Простой бизнес», эксперт по предпринимательству, бизнесу и образованию. 
 
Время начала: 15:30 
Место встречи: Санкт-Петербург, Лермонтовский проспект, д. 43/1, AZIMUT Сити Отель, конференц-зал «Берлин». 
 
👉 Подробная программа и регистрация — на сайте: https://lab.1t.ru/st-peterburg

⚡ Спешите, количество мест ограничено! 
 
#1ТСтартЛаб";2023-07-18 16:59:08;bnzGe5Ym1sGNA9g2EInQz0xavRKy;0;2;563
"Летняя Стартап-лаборатория 1Т — ждите в своем городе! 
 
🎉 Стартап-встречи в 11 регионах страны! С 22 июля по 30 августа мы проведем 11 встреч в разных городах, посвященных тому, как начать свой стартап. 
 
🔸 Как найти идею для стартапа? 
🔸 Как посчитать экономику и составить портрет клиента? 
🔸 Как получить инвестиции и гранты? 
🔸 Как презентовать продукт инвесторам? 
 
Обо всем этом и многом другом — на живой встрече в вашем городе! 
 
Если вы интересуетесь IT или думали о своем стартапе, приходите на СтартЛаб или участвуйте онлайн — в трансляциях или интерактивно, выполняя домашние задания в ходе стартап-тура. 
 
Расписание Стартап-лаборатории 1Т: 
🔹 Санкт-Петербург — 22 июля 
🔹 Калининград — 26 июля 
🔹 Екатеринбург — 29 июля 
🔹 Новосибирск — 2 августа 
🔹 Иркутск — 5 августа 
🔹 Ростов-на-Дону — 12 августа 
🔹 Краснодар — 16 августа 
🔹 Волгоград — 19 августа 
🔹 Самара — 23 августа 
🔹 Нижний Новгород — 26 августа 
🔹 Москва — 30 августа 
 
Первая встреча — в Санкт-Петербурге 22 июля. Для офлайн- и онлайн-участия регистрируйтесь по ссылке, количество мест ограничено!
 
👉 https://lab.1t.ru/st-peterburg
 
#1ТСтартЛаб";2023-07-17 16:00:01;buhnzlEVjIQHpSH77_dzN919qUJu;3;9;562
"Что такое Zoom-этикет 
 
💻 Видеоконференции стали частью нашей повседневной жизни: мы созваниваемся с друзьями, собираемся для игры, проводим совещания с коллегами и учимся онлайн. Если с друзьями можно вести себя достаточно свободно, то в случае с рабочими звонками нужно соблюдать определенные правила «Zoom-этикета». 
 
Вот несколько советов: 
 
✅ Будьте пунктуальны. Не заставляйте коллег ждать себя. Если не успеваете, предупредите других, что начинать можно без вас. 
 
✅ Отключайте микрофон, когда не говорите. Пожалуй, это один из наиболее важных аспектов онлайн-этикета. Даже если в комнате царит тишина — любое движение, кашель, полицейская сирена за окном может помешать ходу совещания. 
 
✅ Обговорите заранее: вы созваниваетесь с видео или только с аудио? Не всем удобно включать камеру, с другой стороны, многим нужен визуальный контакт с собеседником. О том, что это будет именно видеовстреча, лучше предупредить заранее. 
 
✅ Подумайте о картинке. Если встреча будет проходить с камерой, позаботьтесь о том, что будут видеть другие: не стоит сидеть в любимой пижаме с овечками на фоне беспорядка в комнате. 
 
✅ Не ешьте во время совещания. Напитки во время онлайн-конференции — норма, а вот с едой дела обстоят сложнее. Смотреть, а тем более слушать, как ест другой человек, может быть неприятно другим участникам. 
 
✅ Не отвлекайтесь. Многозадачность — это хорошо, но во время совещания лучше сосредоточиться на встрече. Так вы не потеряете нить разговора и сможете внести свой вклад в обсуждение. 
 
✅ Не перебивайте. Не начинайте просто говорить, так создается хаос. Еще в школе нас учили поднимать руку, прежде чем что-то спросить — и во многих приложениях есть такая функция. 
 
✅ Подпишитесь настоящим именем. Веселые никнеймы лучше оставить для неформального общения. На рабочих совещаниях каждый участник должен знать, как обратиться к вам по имени. 
 
А что вас раздражает на видеосозвонах? Делитесь в комментариях 👇 
 
#1ТСпринт_продуктивность";2023-07-16 15:45:00;C3RnBvN1_a_DqyWdkm740NsRD6mU;2;6;560
"Мастермайнд: как находить лучшие решения с помощью других людей 
 
Мастермайнд — групповая встреча, где близкие по духу люди обмениваются опытом, получают поддержку и помогают друг другу в решении личных и профессиональных проблем. 
 
👥 Встречи проходят с определенной периодичностью в онлайн- или офлайн-формате. Каждый участник заранее готовит запрос и делится им во время мастермайнда. Обычно на это дается три минуты. После этого другие члены команды в течение двух-трех минут задают участнику вопросы, чтобы прояснить ситуацию, и дают обратную связь. В конце встречи участники фиксируют итоги и обязуются выполнить к следующей встрече действия, которые помогут решить проблему, а на следующем мастермайнде делятся результатами. 
 
👩‍🎨 Для решения профессиональной задачи вам потребуется собрать специалистов из смежных сфер. Например, вы разработчик и хотите решить профессиональный вопрос. Конечно, и кондитер, и владелец автосервиса смогут оказать вам определенную поддержку, только вот дать дельный совет и направить в нужное русло — очень вряд ли. Если же ваш запрос — личная проблема, вам пригодятся знания и опыт людей разного пола, возраста и профессий. 
 
💡 По сути, мастермайнд — группа единомышленников, которые находятся в похожих условиях и преследуют общие цели. Совместная проработка запросов, генерация идей и обмен опытом помогают не только проработать проблему другого участника, но и открыть для себя что-то новое. При этом групповые занятия помогают поддерживать мотивацию и не дают сбиться с намеченного курса. 
 
Правила мастермайнда: 
 
🔹 Активность. Вовлекаясь в процесс, вы помогаете не только другим, но и себе. 
 
🔹 Уважение к другим участникам. Каждому участнику отводится одинаковое время. Не перебивайте других и постарайтесь соблюдать тайминг. 
 
🔹 Безоценочность. Уважайте мнение других. Не критикуйте и не осуждайте. 
 
🔹 Конфиденциальность. Намного проще быть открытым и честным, если знаешь, что всё, что сказано в группе, останется в группе. 
 
#1ТСпринт_продуктивность";2023-07-15 15:30:00;8UxW7W9BLVFeRBRlZrmizbRYAX8_;1;2;559
"Заключительная часть советов от участников разработки 1Т Клуба 
 
👆🏻 Эти рекомендации могут применять в работе все специалисты. Но учитывайте, что есть побочные эффекты: 
🔹 снижение продуктивности; 
🔹 выгорание; 
🔹 конфликты с заказчиком и внутри команды; 
🔹 падения с карьерной лестницы. 
 
🗣 Все вредные советы от участников разработки 1Т Клуба в видео по ссылке: https://www.youtube.com/watch?v=vl31mqOHXS0 
 
#1ТКлуб_ретроспектива";2023-07-14 16:04:05;4FMojEyF9GYyhiZgahFQFVCyNRqy;0;7;554
"Как понимать корпоративный сленг 
 
💬 У нас давно не было рубрики «Словарь», где мы на карточках объясняем сложные IT-термины. Сегодняшняя подборка — это не совсем термины, чаще всего их можно заменить обычными словами. Это офисный, корпоративный сленг, который часто сложно понять неподготовленному человеку. 
 
Вот первые десять «корпоративных» слов: 
 
Апрувить — подтверждать, утверждать или согласовывать. 
«Заапрувь макет с заказчиком», «Надо делать? Апрув уже есть?» 
 
Асап — ASAP, as soon as possible, «так быстро, как только возможно». 
«Когда надо сделать? — Вчера! Ну то есть асап», «Ответь асап, плиз». 
 
Буст — от англ. boost, повышать или ускорять. Стремительный подъем, повышение, мощный толчок. 
«Это сразу дает буст по всем показателям», «Нам нужен какой-то буст». 
 
Дропнуть — от англ. drop, капля, уронить. У рэперов — выпустить новый альбом. А в офисе, скорее всего — пропустить, бросить заниматься чем-либо. 
«Эту задачу я в итоге дропнул», «Дропнул книжку на середине». 
 
Колл — звонок, видеозвонок, групповой созвон, от английского call. 
«Колл во сколько сегодня?», «У меня колл, не могу». 
 
Косты — затраты, стоимость, от английского costs. 
«Что они, косты выкатили? Потянем?», «Надо косты подбить, тогда смогу сказать». 
 
Расшарить — от английского share, делиться. Открыть онлайн-доступ к файлу или документу. 
«Расшарь папку на всех», «Пошерь этот файл в группе». 
 
Факап — провал, серьезная ошибка с тяжелыми последствиями. 
«Все кончилось факапом», «Еще вчера должно было быть готово, это факап!» 
 
Форварднуть — от англ. forward, переслать, перенаправить письмо или задачу. 
«Просто форвардни им письмо», «Форвардни задачу на меня». 
 
Чéкнуть — от английского check, проверить. 
«Должно быть готово, сейчас чекну», «Чекни почту, я тебе письмо переслал». 
 
👇 А как говорите вы? Пройдите небольшой опрос👇 
 
#1ТСпринт_словарь";2023-07-13 16:45:00;6o8w1IgoOKXgJcNh2BoFOnAKQWVA;0;5;549
"Как в 1Т Клубе организована менторская поддержка команд 
 
🌱 Когда в 1Т Клубе появляется новая команда, с ней сразу начинают работать менторы. Всю работу по онбордингу проводят кураторы-менеджеры Екатерина Куршина и Надежда Кулакова и эксперт 1Т Алексей Костин. Кураторы знакомят команду с идеей проекта, готовят участников к установочной встрече с заказчиком и морально поддерживают ребят, которые только начинают свой путь в IT. 
 
Менторство команд включает в себя: 
 
✅ Ежедневное общение кураторов с участниками. Екатерина и Надежда присутствуют на внутренних созвонах и встречах с заказчиками, проверяют все документы и артефакты, следят за атмосферой в проекте и при необходимости помогают наладить коммуникацию. 
 
✅ Еженедельная общая встреча с лидерами команд. Каждый понедельник все менеджеры команд созваниваются с кураторами и рассказывают, как продвигается их проект. Участники 1Т Клуба делятся своими успехами и проблемами и получают обратную связь от Алексея Костина. 
 
✅ Поиск специалистов. Если в команде не хватает каких-то ролей, кураторы помогают найти и внедрить их в проект. Например, привлекают маркетологов и аналитиков из других команд. 
 
✅ Обучение менеджеров. Больше всего кураторы общаются с менеджерами команд и учат их общаться с разработчиками, вести протоколы встреч, формировать бэклог, ставить задачи и делать отчеты. Кураторы следят, чтобы менеджеры были проактивными и первыми выходили на связь с заказчиками. 
 
✅ Экспертная поддержка. Если в команде не хватает компетенций по какой-то специальности, то кураторы привлекают экспертов 1Т Клуба. Иван Никоноров помогает разработчикам, Карина Шушунова проводит встречи с маркетологами команд. Также участники постоянно получают обратную связь от менторов по аналитике и дизайну. 
 
✅ Помощь в составлении документов. Если у команды возникают сложности, кураторы рассказывают, как создать спецификацию, концепцию или дорожную карту, и делятся шаблонами документов. 
 
#1ТКлуб_менторство";2023-07-12 16:00:01;mrXrZ9qAEUAgBLmJbsOAGNsn04-R;0;15;547
"Как стать digital-маркетологом в IT-компании после 10 лет декрета 
 
👩🏼‍💼 До курсов 1Т Спринт Полина Агеева занималась воспитанием двух дочерей и сына, но при этом мечтала о самореализации. В декрете она пыталась найти работу, которая подошла бы многодетной матери. Когда младшему ребенку исполнился год, Полина пекла торты на заказ. А когда он пошел в детский сад, устроилась администратором в медицинский центр и доросла до руководителя. Но эти профессии было невозможно совмещать с материнством. 
 
🏡 Год назад Полина поняла, что единственная возможность зарабатывать и при этом не оставлять детей без присмотра — это удаленная работа в IT-сфере. 
 
Полина выбрала курс digital-маркетинга в 1Т Спринт и смогла начать карьеру в IT. После курсов ее пригласили в 1Т на должность куратора-маркетолога. 
 
👩‍💻 Сегодня Полина Агеева — маркетолог в 1Т Клубе. В этой работе ее особенно радует возможность постоянно учиться и развиваться. Находясь дома, она может организовать свой график так, чтобы времени хватало и на самореализацию и на потребности большой семьи. 
 
💜 Совет мамам в декрете от Полины: «Не бойтесь идти в IT. Здесь никого не пугает количество ваших детей. Никто не откажет вам в работе из-за того, что дети часто болеют. Верьте в себя! Мамы умеют быть многозадачными, и в этом наша сила. Развивайтесь и реализуйтесь, чтобы стать примером своим детям!» 
 
🎦 Больше видео и вдохновляющих историй на нашем YouTube-канале: https://www.youtube.com/@1t-sprint

#1ТСпринт_отзывы #1ТКлуб_карьера";2023-07-11 17:40:57;wu1WcpCXKCuWZdI1A95PT7KF3vUE;1;11;545
"Подборка книг про CustDev 
 
CustDev — это клиентоориентированный подход к бизнесу, который основан на проведении глубинных интервью с потенциальными потребителями. С их помощью можно: 
🔹 ﻿составить точный портрет клиента; 
🔹 выявить потребности аудитории; 
🔹 адаптировать продукт под запросы рынка; 
﻿﻿🔹 создать продукт, за который клиенты будут платить. 
 
📚 Сегодня подобрали для вас несколько книг, которые помогут лучше погрузиться в тему CustDev. Подборка будет полезна не только маркетологам, но и менеджерам проектов, предпринимателям, стартаперам и всем, кто хочет работать над востребованными продуктами. 
 
📘 Четыре шага к озарению. Стратегии создания успешных стартапов, Стив Бланк 
Именно Стив Бланк впервые сформулировал методику развития потребителей или Customer Development. В книге автор описывает четыре шага, которые должен пройти предприниматель, чтобы быстрее конкурентов проверять гипотезы и внедрять их в жизнь. Стоит прочесть, чтобы узнать, как успешно развивать проекты. 
 
📘 Спроси маму: как общаться с клиентами и подтвердить правоту своей бизнес-идеи, если все кругом врут, Роб Фитцпатрик 
Книга о том, как разговаривать с потребителями, чтобы извлекать из их ответов бизнес-идеи. В ней собраны практические советы, которые помогут сделать интервью максимально ценным. Стоит прочесть, чтобы понять, что не стоит спрашивать у клиентов и как правильно сформулировать уточняющие вопросы. 
 
📘 Как создать продукт, который купят. Метод Lean Customer Development, Синди Альварес 
Книга содержит конкретные рекомендации по адаптации методики CustDev под свои бизнес-задачи. Это пошаговое руководство для проведения интервью, мозговых штурмов в команде и проверки гипотез перед выходом на рынок. Стоит прочесть, чтобы получить конкретные скрипты и шаблоны для общения. 
 
#1ТСпринт_маркетинг";2023-07-10 18:15:00;mt4xWi-nU5_UI21uMDQ1AsQKt6Yt;1;7;544
"Метод оценки рисков «5 сил Портера» 
 
📊 Пять сил Портера — это метод оценки рисков и анализа конкурентной среды бизнеса. Он помогает понять, какие факторы влияют на успех или неудачу предприятия, и выстроить успешную маркетинговую стратегию. 
 
📚 Метод был разработан гарвардским профессором Майклом Портером в 1979 году. Он выделил пять основных сил, которые влияют на бизнес и подробно описал их в книге «Конкуренция», которая стала классикой стратегического менеджмента. 
 
Что это за силы? 
 
1. Покупатели или клиенты 
Покупатели со временем меняют свою модель потребления. Например, эко-товары раньше не были так распространены, как сегодня. Чтобы сохранять бизнес, надо уметь адаптироваться под такие изменения. Важно предусмотреть все возможности, при которых клиенты могут изменить свою точку зрения или уйти к конкурентам. 
 
2. Поставщики 
Поставщики могут начать отпускать ограниченное количество товара в одни руки из-за недостатка сырья, устанавливать слишком высокие цены или экономить на качестве продукции. Если альтернативы поставщику нет, бизнесу придется самому повышать цены, что отпугнет покупателей. 
 
3. Действующие конкуренты 
Необходимо учитывать текущую конкуренцию между компаниями в отрасли. Чем сильнее конкуренция, тем сложнее держать свою долю на рынке — если анализ показывает, что конкуренция высока, бизнесу нужно подумать над преимуществами. 
 
4. Новые конкуренты 
Всегда есть вероятность того, что на рынок выйдут новые конкуренты. Чтобы их появление не стало неожиданностью, нужно заранее изучать потенциальных соперников и прогнозировать будущее ниши — хватит ли всем прибыли и спроса. 
 
5. Товары-заменители 
Одну и ту же «боль» можно закрыть разными средствами и товарами. Когда продажи одних товаров растут, продажи их заменителей падают. Это тоже нужно учитывать при анализе бизнеса. 
 
#1ТСпринт_маркетинг";2023-07-08 14:15:00;yqkAksi0AqHvcuwEZyBvlH9W_CMC;1;6;542
